# JMH version: 1.35
# VM version: JDK 20, OpenJDK 64-Bit Server VM, 20+36-2344
# VM invoker: /home/dreamlike/jdk-20/bin/java
# VM options: --enable-preview
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 100 iterations, 100 ms each
# Measurement: 100 iterations, 100 ms each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.example.demo.DemoApplication.testNormalGetter

# Run progress: 0.00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 2854347.940 ops/ms
# Warmup Iteration   2: 3316077.508 ops/ms
# Warmup Iteration   3: 4263064.672 ops/ms
# Warmup Iteration   4: 4304197.446 ops/ms
# Warmup Iteration   5: 4450678.447 ops/ms
# Warmup Iteration   6: 4344789.720 ops/ms
# Warmup Iteration   7: 4329379.624 ops/ms
# Warmup Iteration   8: 4201312.163 ops/ms
# Warmup Iteration   9: 4629501.706 ops/ms
# Warmup Iteration  10: 4368639.809 ops/ms
# Warmup Iteration  11: 4445812.648 ops/ms
# Warmup Iteration  12: 4243731.680 ops/ms
# Warmup Iteration  13: 4055773.031 ops/ms
# Warmup Iteration  14: 4256675.838 ops/ms
# Warmup Iteration  15: 4439128.084 ops/ms
# Warmup Iteration  16: 4342444.902 ops/ms
# Warmup Iteration  17: 4775285.335 ops/ms
# Warmup Iteration  18: 4438335.742 ops/ms
# Warmup Iteration  19: 4251688.938 ops/ms
# Warmup Iteration  20: 4185530.434 ops/ms
# Warmup Iteration  21: 4367687.399 ops/ms
# Warmup Iteration  22: 4513781.615 ops/ms
# Warmup Iteration  23: 4334846.987 ops/ms
# Warmup Iteration  24: 4373654.684 ops/ms
# Warmup Iteration  25: 4358032.369 ops/ms
# Warmup Iteration  26: 4569330.347 ops/ms
# Warmup Iteration  27: 4634657.330 ops/ms
# Warmup Iteration  28: 4359545.806 ops/ms
# Warmup Iteration  29: 4294135.181 ops/ms
# Warmup Iteration  30: 4705468.559 ops/ms
# Warmup Iteration  31: 4147909.197 ops/ms
# Warmup Iteration  32: 4559780.296 ops/ms
# Warmup Iteration  33: 4510725.218 ops/ms
# Warmup Iteration  34: 4330274.664 ops/ms
# Warmup Iteration  35: 4447338.947 ops/ms
# Warmup Iteration  36: 4478073.923 ops/ms
# Warmup Iteration  37: 4244244.258 ops/ms
# Warmup Iteration  38: 4576186.217 ops/ms
# Warmup Iteration  39: 4606863.630 ops/ms
# Warmup Iteration  40: 4280091.354 ops/ms
# Warmup Iteration  41: 4307758.402 ops/ms
# Warmup Iteration  42: 4148350.922 ops/ms
# Warmup Iteration  43: 4388896.460 ops/ms
# Warmup Iteration  44: 4383587.944 ops/ms
# Warmup Iteration  45: 4374529.894 ops/ms
# Warmup Iteration  46: 4174834.674 ops/ms
# Warmup Iteration  47: 4418533.893 ops/ms
# Warmup Iteration  48: 4079250.293 ops/ms
# Warmup Iteration  49: 4187911.314 ops/ms
# Warmup Iteration  50: 4271467.258 ops/ms
# Warmup Iteration  51: 4458519.031 ops/ms
# Warmup Iteration  52: 4444282.801 ops/ms
# Warmup Iteration  53: 4302436.890 ops/ms
# Warmup Iteration  54: 4530939.758 ops/ms
# Warmup Iteration  55: 4175564.263 ops/ms
# Warmup Iteration  56: 4337603.835 ops/ms
# Warmup Iteration  57: 4351807.028 ops/ms
# Warmup Iteration  58: 4558552.126 ops/ms
# Warmup Iteration  59: 4480654.101 ops/ms
# Warmup Iteration  60: 4332264.691 ops/ms
# Warmup Iteration  61: 4365099.843 ops/ms
# Warmup Iteration  62: 4476879.367 ops/ms
# Warmup Iteration  63: 4524586.421 ops/ms
# Warmup Iteration  64: 4232010.965 ops/ms
# Warmup Iteration  65: 4418933.088 ops/ms
# Warmup Iteration  66: 4523539.734 ops/ms
# Warmup Iteration  67: 4619532.458 ops/ms
# Warmup Iteration  68: 4330932.641 ops/ms
# Warmup Iteration  69: 4472851.072 ops/ms
# Warmup Iteration  70: 4494852.004 ops/ms
# Warmup Iteration  71: 4236876.808 ops/ms
# Warmup Iteration  72: 4416591.827 ops/ms
# Warmup Iteration  73: 4514324.932 ops/ms
# Warmup Iteration  74: 3971676.713 ops/ms
# Warmup Iteration  75: 4447652.145 ops/ms
# Warmup Iteration  76: 4752948.277 ops/ms
# Warmup Iteration  77: 4424831.452 ops/ms
# Warmup Iteration  78: 4460861.975 ops/ms
# Warmup Iteration  79: 4304660.131 ops/ms
# Warmup Iteration  80: 4551564.391 ops/ms
# Warmup Iteration  81: 4171325.134 ops/ms
# Warmup Iteration  82: 4466805.717 ops/ms
# Warmup Iteration  83: 4413660.677 ops/ms
# Warmup Iteration  84: 4576031.905 ops/ms
# Warmup Iteration  85: 4054476.067 ops/ms
# Warmup Iteration  86: 4512997.954 ops/ms
# Warmup Iteration  87: 4455780.323 ops/ms
# Warmup Iteration  88: 4343113.210 ops/ms
# Warmup Iteration  89: 4606947.290 ops/ms
# Warmup Iteration  90: 4362777.010 ops/ms
# Warmup Iteration  91: 4386802.938 ops/ms
# Warmup Iteration  92: 4496391.654 ops/ms
# Warmup Iteration  93: 4452261.981 ops/ms
# Warmup Iteration  94: 4335087.401 ops/ms
# Warmup Iteration  95: 4286367.363 ops/ms
# Warmup Iteration  96: 4527512.660 ops/ms
# Warmup Iteration  97: 4255391.096 ops/ms
# Warmup Iteration  98: 4044093.734 ops/ms
# Warmup Iteration  99: 4591352.124 ops/ms
# Warmup Iteration 100: 4559430.948 ops/ms
Iteration   1: 4036361.266 ops/ms
Iteration   2: 4262618.872 ops/ms
Iteration   3: 4289703.155 ops/ms
Iteration   4: 4332976.101 ops/ms
Iteration   5: 4164662.540 ops/ms
Iteration   6: 4396374.395 ops/ms
Iteration   7: 4334080.224 ops/ms
Iteration   8: 4447455.319 ops/ms
Iteration   9: 4545100.834 ops/ms
Iteration  10: 4459066.875 ops/ms
Iteration  11: 4482313.609 ops/ms
Iteration  12: 4628446.041 ops/ms
Iteration  13: 4463661.541 ops/ms
Iteration  14: 4455568.713 ops/ms
Iteration  15: 4416310.596 ops/ms
Iteration  16: 4418021.331 ops/ms
Iteration  17: 4586511.774 ops/ms
Iteration  18: 4514871.295 ops/ms
Iteration  19: 4352796.379 ops/ms
Iteration  20: 4246963.269 ops/ms
Iteration  21: 4279676.692 ops/ms
Iteration  22: 4224870.200 ops/ms
Iteration  23: 4668650.311 ops/ms
Iteration  24: 4481307.797 ops/ms
Iteration  25: 4295702.166 ops/ms
Iteration  26: 4425041.649 ops/ms
Iteration  27: 4632415.791 ops/ms
Iteration  28: 4404689.962 ops/ms
Iteration  29: 4464645.330 ops/ms
Iteration  30: 4513208.606 ops/ms
Iteration  31: 4347776.953 ops/ms
Iteration  32: 4218577.406 ops/ms
Iteration  33: 4517115.543 ops/ms
Iteration  34: 4378575.301 ops/ms
Iteration  35: 4269519.462 ops/ms
Iteration  36: 4269004.669 ops/ms
Iteration  37: 4150362.841 ops/ms
Iteration  38: 4534025.640 ops/ms
Iteration  39: 4578852.668 ops/ms
Iteration  40: 4357668.808 ops/ms
Iteration  41: 4402297.927 ops/ms
Iteration  42: 4625907.104 ops/ms
Iteration  43: 4407772.627 ops/ms
Iteration  44: 4698836.572 ops/ms
Iteration  45: 4431856.041 ops/ms
Iteration  46: 4148169.849 ops/ms
Iteration  47: 4194788.576 ops/ms
Iteration  48: 4193441.637 ops/ms
Iteration  49: 4169320.586 ops/ms
Iteration  50: 4122485.085 ops/ms
Iteration  51: 4154342.869 ops/ms
Iteration  52: 4414298.388 ops/ms
Iteration  53: 4442363.275 ops/ms
Iteration  54: 4681075.327 ops/ms
Iteration  55: 4507531.981 ops/ms
Iteration  56: 4398467.401 ops/ms
Iteration  57: 4372839.840 ops/ms
Iteration  58: 4122237.488 ops/ms
Iteration  59: 4449976.926 ops/ms
Iteration  60: 4555924.005 ops/ms
Iteration  61: 4353319.752 ops/ms
Iteration  62: 4429156.650 ops/ms
Iteration  63: 4546428.225 ops/ms
Iteration  64: 4566688.344 ops/ms
Iteration  65: 4297711.233 ops/ms
Iteration  66: 4375591.598 ops/ms
Iteration  67: 4413775.506 ops/ms
Iteration  68: 4137706.865 ops/ms
Iteration  69: 4434817.354 ops/ms
Iteration  70: 4295370.316 ops/ms
Iteration  71: 4360628.170 ops/ms
Iteration  72: 4318298.279 ops/ms
Iteration  73: 4374664.877 ops/ms
Iteration  74: 4577846.542 ops/ms
Iteration  75: 4504329.955 ops/ms
Iteration  76: 4326641.033 ops/ms
Iteration  77: 4500457.842 ops/ms
Iteration  78: 4493392.748 ops/ms
Iteration  79: 4224978.571 ops/ms
Iteration  80: 4536298.908 ops/ms
Iteration  81: 4530403.563 ops/ms
Iteration  82: 4688619.356 ops/ms
Iteration  83: 4185213.963 ops/ms
Iteration  84: 4427761.700 ops/ms
Iteration  85: 4414848.911 ops/ms
Iteration  86: 4434518.794 ops/ms
Iteration  87: 4405553.953 ops/ms
Iteration  88: 4446248.684 ops/ms
Iteration  89: 4144177.729 ops/ms
Iteration  90: 4204760.079 ops/ms
Iteration  91: 4171188.039 ops/ms
Iteration  92: 4507317.156 ops/ms
Iteration  93: 4292845.070 ops/ms
Iteration  94: 4499845.940 ops/ms
Iteration  95: 4105811.665 ops/ms
Iteration  96: 4294072.957 ops/ms
Iteration  97: 4288799.654 ops/ms
Iteration  98: 4542837.870 ops/ms
Iteration  99: 4382599.764 ops/ms
Iteration 100: 4394661.898 ops/ms

# Run progress: 3.33% complete, ETA 00:10:04
# Fork: 2 of 5
# Warmup Iteration   1: 2667202.541 ops/ms
# Warmup Iteration   2: 3411313.084 ops/ms
# Warmup Iteration   3: 4539966.523 ops/ms
# Warmup Iteration   4: 4609060.772 ops/ms
# Warmup Iteration   5: 4433928.661 ops/ms
# Warmup Iteration   6: 4557593.640 ops/ms
# Warmup Iteration   7: 4458949.475 ops/ms
# Warmup Iteration   8: 4751531.646 ops/ms
# Warmup Iteration   9: 4554138.414 ops/ms
# Warmup Iteration  10: 4609013.841 ops/ms
# Warmup Iteration  11: 4474328.445 ops/ms
# Warmup Iteration  12: 4449454.674 ops/ms
# Warmup Iteration  13: 4569893.584 ops/ms
# Warmup Iteration  14: 4544364.974 ops/ms
# Warmup Iteration  15: 4319856.381 ops/ms
# Warmup Iteration  16: 4500951.750 ops/ms
# Warmup Iteration  17: 4368191.234 ops/ms
# Warmup Iteration  18: 4095316.957 ops/ms
# Warmup Iteration  19: 4133353.784 ops/ms
# Warmup Iteration  20: 4576096.662 ops/ms
# Warmup Iteration  21: 4618442.029 ops/ms
# Warmup Iteration  22: 4526276.276 ops/ms
# Warmup Iteration  23: 4379016.284 ops/ms
# Warmup Iteration  24: 4257751.877 ops/ms
# Warmup Iteration  25: 4482530.752 ops/ms
# Warmup Iteration  26: 4134886.061 ops/ms
# Warmup Iteration  27: 4527734.917 ops/ms
# Warmup Iteration  28: 4626355.288 ops/ms
# Warmup Iteration  29: 4535966.284 ops/ms
# Warmup Iteration  30: 4527576.388 ops/ms
# Warmup Iteration  31: 4539742.576 ops/ms
# Warmup Iteration  32: 4475853.351 ops/ms
# Warmup Iteration  33: 4077997.653 ops/ms
# Warmup Iteration  34: 4478212.394 ops/ms
# Warmup Iteration  35: 4281749.973 ops/ms
# Warmup Iteration  36: 4402795.017 ops/ms
# Warmup Iteration  37: 4346040.569 ops/ms
# Warmup Iteration  38: 4628115.628 ops/ms
# Warmup Iteration  39: 4437845.715 ops/ms
# Warmup Iteration  40: 4443429.931 ops/ms
# Warmup Iteration  41: 4427454.432 ops/ms
# Warmup Iteration  42: 4203582.414 ops/ms
# Warmup Iteration  43: 4767472.911 ops/ms
# Warmup Iteration  44: 4386421.381 ops/ms
# Warmup Iteration  45: 4331265.354 ops/ms
# Warmup Iteration  46: 4292997.700 ops/ms
# Warmup Iteration  47: 4384572.369 ops/ms
# Warmup Iteration  48: 4242188.437 ops/ms
# Warmup Iteration  49: 4631442.765 ops/ms
# Warmup Iteration  50: 4583241.555 ops/ms
# Warmup Iteration  51: 4511213.794 ops/ms
# Warmup Iteration  52: 4446962.854 ops/ms
# Warmup Iteration  53: 4244064.949 ops/ms
# Warmup Iteration  54: 4439801.996 ops/ms
# Warmup Iteration  55: 4277011.983 ops/ms
# Warmup Iteration  56: 4432345.508 ops/ms
# Warmup Iteration  57: 4183119.228 ops/ms
# Warmup Iteration  58: 4553407.337 ops/ms
# Warmup Iteration  59: 4480651.295 ops/ms
# Warmup Iteration  60: 4428217.275 ops/ms
# Warmup Iteration  61: 4768054.933 ops/ms
# Warmup Iteration  62: 4460260.621 ops/ms
# Warmup Iteration  63: 4237849.909 ops/ms
# Warmup Iteration  64: 4622365.976 ops/ms
# Warmup Iteration  65: 4503457.547 ops/ms
# Warmup Iteration  66: 4660990.714 ops/ms
# Warmup Iteration  67: 4492537.928 ops/ms
# Warmup Iteration  68: 4439013.478 ops/ms
# Warmup Iteration  69: 4554864.448 ops/ms
# Warmup Iteration  70: 4401529.297 ops/ms
# Warmup Iteration  71: 4557726.793 ops/ms
# Warmup Iteration  72: 4449107.719 ops/ms
# Warmup Iteration  73: 4562594.264 ops/ms
# Warmup Iteration  74: 4672939.200 ops/ms
# Warmup Iteration  75: 4602486.194 ops/ms
# Warmup Iteration  76: 4432346.124 ops/ms
# Warmup Iteration  77: 4469306.333 ops/ms
# Warmup Iteration  78: 4237565.140 ops/ms
# Warmup Iteration  79: 4339333.755 ops/ms
# Warmup Iteration  80: 4316173.037 ops/ms
# Warmup Iteration  81: 4480192.654 ops/ms
